Bl	G	R	H	S	V	L	A	B	Color
6	91	22	54	238	91	85	91	166	2
9	94	25	54	231	94	88	91	165	2
9	95	30	53	231	95	89	91	166	2
9	95	32	52	231	95	89	92	166	2
11	95	31	53	225	95	89	92	166	2
11	95	31	53	225	95	89	92	166	2
12	95	28	54	223	95	89	92	165	2
13	96	29	54	220	96	90	91	165	2
14	99	32	54	219	99	93	91	166	2
11	96	30	53	226	96	90	91	166	2
11	96	29	54	226	96	90	91	166	2
11	95	28	54	225	95	89	91	166	2
14	93	26	55	217	93	87	92	164	2
13	92	26	55	219	92	86	92	164	2
13	91	27	55	219	91	85	92	164	2
14	91	27	55	216	91	85	92	163	2
15	90	25	56	212	90	84	93	162	2
14	89	24	56	215	89	83	93	162	2
15	89	24	56	212	89	83	93	162	2
15	88	23	57	212	88	82	93	162	2
14	86	20	58	213	86	80	93	161	2
25	85	13	65	216	85	79	93	156	2
34	86	10	69	225	86	80	93	152	2
42	84	9	73	228	84	79	96	147	2
44	82	8	75	230	82	77	97	145	2
48	80	11	76	220	80	75	99	141	2
51	81	13	77	214	81	77	100	140	2
54	80	11	79	220	80	76	101	138	2
53	79	10	79	223	79	75	101	138	2
47	79	10	76	223	79	74	99	141	2
46	79	10	76	223	79	74	98	142	2
46	79	11	75	219	79	74	99	142	2
46	79	12	75	216	79	74	99	142	2
51	80	10	78	223	80	75	100	139	2
52	81	11	78	220	81	77	100	139	2
55	81	13	79	214	81	77	100	137	2
50	76	8	79	228	76	71	101	138	2
44	73	9	76	224	73	68	101	140	2
44	73	9	76	224	73	68	101	140	2
40	74	5	75	238	74	69	99	143	2
42	76	7	75	232	76	71	99	143	2
41	74	9	75	224	74	69	100	142	2
42	73	10	75	220	73	68	101	141	2
40	75	20	71	187	75	71	101	144	2
42	74	18	73	193	74	70	102	142	2
46	75	19	74	190	75	71	102	140	2
47	74	17	76	196	74	70	102	139	2
50	74	14	78	207	74	70	103	137	2
51	75	16	78	201	75	71	103	137	2
47	74	19	75	190	74	70	103	139	2
50	75	20	76	187	75	71	103	138	2
48	76	18	76	195	76	72	102	139	2
51	75	18	77	194	75	71	103	137	2
54	73	20	79	185	73	70	105	134	2
57	73	20	81	185	73	70	106	132	2
57	70	18	82	189	70	67	107	131	2
58	69	17	84	192	69	66	108	130	2
59	70	12	84	211	70	67	106	130	2
61	70	12	85	211	70	67	108	128	2
60	71	10	85	219	71	68	107	129	2
61	69	9	86	222	69	66	107	128	2
65	72	13	86	209	72	69	108	127	2
69	78	18	86	196	78	75	107	128	2
59	79	17	80	200	79	75	103	134	2
57	76	14	81	208	76	72	104	134	2
62	72	9	85	223	72	69	106	129	2
64	74	11	85	217	74	71	107	128	2
64	74	13	85	210	74	71	107	128	2
63	73	12	85	213	73	70	107	129	2
60	74	10	83	221	74	70	105	131	2
60	75	11	83	218	75	71	105	132	2
55	77	14	80	209	77	73	103	136	2
55	77	14	80	209	77	73	103	136	2
46	77	17	75	199	77	72	101	141	2
47	78	18	75	196	78	74	101	141	2
40	83	21	69	190	83	78	98	148	2
39	83	21	69	190	83	78	98	148	2
28	85	15	66	210	85	79	94	155	2
26	85	14	65	213	85	79	93	156	2
20	87	23	59	196	87	81	94	159	2
21	89	27	57	195	89	84	94	160	2
14	90	28	54	215	90	85	94	163	2
15	92	30	54	213	92	86	93	163	2
18	93	31	55	206	93	87	93	163	2
17	92	30	55	208	92	86	93	163	2
15	95	26	56	215	95	89	91	164	2
13	96	23	56	220	96	90	90	166	2
9	95	22	55	231	95	88	90	166	2
6	96	22	55	239	96	90	89	167	2
7	96	22	55	236	96	90	89	167	2
10	97	23	56	229	97	91	89	167	2
10	98	24	55	229	98	92	89	167	2
9	97	23	55	231	97	91	89	167	2
9	96	21	56	231	96	90	89	166	2
9	96	19	57	231	96	89	89	166	2
8	94	17	57	233	94	87	89	166	2
9	93	15	58	230	93	86	89	165	2
9	94	16	58	231	94	87	89	166	2
7	93	16	57	236	93	86	89	166	2
7	91	16	57	235	91	85	90	165	2
5	91	15	57	241	91	85	90	166	2
7	91	16	57	235	91	85	90	165	2
10	91	19	57	227	91	85	90	164	2
10	91	19	57	227	91	85	90	164	2
9	93	24	55	230	93	87	91	165	2
7	92	23	54	236	92	86	91	166	2
8	92	25	54	233	92	86	92	165	2
13	97	30	54	221	97	91	91	166	2
11	97	30	53	226	97	91	90	167	2
7	95	27	53	236	95	89	91	167	2
8	94	25	54	233	94	88	90	166	2
8	93	22	55	233	93	87	91	166	2
7	93	21	55	236	93	87	90	166	2
5	92	20	55	241	92	86	90	166	2
5	91	20	55	241	91	85	90	166	2
6	91	20	55	238	91	85	90	166	2
7	93	22	55	236	93	87	91	166	2
2	94	26	52	250	94	88	90	168	2
0	92	24	52	255	92	86	91	168	2
5	92	20	55	241	92	86	90	166	2
5	92	19	55	241	92	86	90	166	2
2	92	20	54	249	92	86	90	167	2
3	94	22	54	247	94	88	90	168	2
6	95	26	53	239	95	89	91	167	2
7	95	27	53	236	95	89	91	167	2
5	95	27	53	242	95	89	91	168	2
2	96	27	52	250	96	90	90	169	2
3	96	26	53	247	96	90	89	168	2
6	95	22	55	239	95	88	89	167	2
6	94	22	55	239	94	88	90	166	2
4	93	21	54	244	93	87	90	167	2
5	91	19	55	241	91	85	90	166	2
6	93	19	56	239	93	87	89	166	2
7	94	20	56	236	94	87	90	166	2
7	90	22	55	235	90	84	91	165	2
8	90	24	54	232	90	84	92	165	2
9	93	26	54	230	93	87	91	165	2
10	93	25	55	228	93	87	91	165	2
9	91	21	56	230	91	85	91	164	2
9	91	19	56	230	91	85	90	164	2
10	92	20	56	227	92	86	90	165	2
11	93	21	56	225	93	87	91	165	2
10	91	21	56	227	91	85	91	164	2
10	90	21	56	227	90	84	91	164	2
12	89	22	56	221	89	83	92	163	2
16	91	22	58	210	91	85	91	162	2
17	92	22	58	208	92	86	91	163	2
16	91	23	57	210	91	85	92	162	2
15	91	24	56	213	91	85	92	163	2
14	91	24	56	216	91	85	92	164	2
14	92	24	56	216	92	86	92	164	2
19	92	22	59	202	92	86	91	162	2
30	89	12	67	221	89	83	92	156	2
30	89	12	67	221	89	83	92	156	2
31	89	15	67	212	89	83	93	155	2
31	89	15	67	212	89	83	93	155	2
32	89	18	66	203	89	83	93	155	2
31	88	17	66	206	88	82	93	155	2
34	86	13	69	216	86	80	94	152	2
37	85	10	71	225	85	79	94	149	2
38	87	12	70	220	87	81	94	150	2
36	87	14	69	214	87	81	94	151	2
38	87	14	70	214	87	82	94	150	2
48	85	14	74	213	85	80	97	144	2
51	88	17	74	206	88	83	97	144	2
40	89	17	70	206	89	83	95	150	2
38	91	19	68	202	91	85	93	152	2
36	89	15	69	212	89	83	93	152	2
35	87	12	69	220	87	81	94	152	2
37	86	11	70	222	86	80	95	150	2
37	86	11	70	222	86	80	95	150	2
42	87	12	72	220	87	82	95	148	2
35	87	8	70	232	87	81	94	152	2
36	86	8	71	231	86	80	93	151	2
42	86	10	73	225	86	81	95	148	2
44	86	10	73	225	86	81	95	147	2
49	83	10	76	224	83	78	98	142	2
54	82	12	78	218	82	77	100	139	2
57	82	11	79	221	82	77	101	137	2
56	81	7	80	233	81	77	100	137	2
58	80	7	81	233	80	76	101	135	2
59	82	8	81	230	82	77	101	135	2
62	83	9	82	227	83	79	101	134	2
64	82	9	83	227	82	78	102	133	2
65	82	10	83	224	82	78	103	132	2
66	82	10	83	224	82	78	103	131	2
69	81	12	85	217	81	78	104	129	2
70	80	12	86	217	80	77	105	128	2
67	79	18	84	197	79	76	106	129	2
69	79	19	85	194	79	76	106	129	2
74	77	25	88	172	77	75	110	125	2
76	77	28	89	162	77	76	111	124	2
72	77	25	87	172	77	75	110	126	2
66	77	20	84	189	77	74	107	129	2
65	77	20	84	189	77	74	106	130	2
59	78	20	80	190	78	74	104	134	2
57	76	18	80	195	76	72	104	134	2
51	78	13	78	213	78	73	101	138	2
49	79	12	77	216	79	75	100	140	2
39	79	13	72	213	79	74	97	146	2
28	79	13	67	213	79	74	96	152	2
27	80	13	66	214	80	75	95	153	2
24	83	16	64	206	83	77	95	156	2
27	86	19	64	199	86	80	94	156	2
21	89	19	61	201	89	83	92	160	2
18	89	18	60	203	89	83	92	161	2
10	89	14	58	226	89	83	91	164	2
4	94	15	56	244	94	87	88	167	2
11	119	31	54	231	119	111	83	173	2
0	183	50	52	255	183	167	66	193	2
34	223	90	51	216	223	202	62	200	2
14	236	128	45	240	236	215	67	208	2
5	242	146	42	250	242	222	71	211	2
6	243	157	41	249	243	224	74	212	2
0	238	169	39	255	238	221	80	212	2
0	239	167	39	255	239	222	79	212	2
1	244	147	42	254	244	223	70	212	2
0	233	133	43	255	233	213	70	209	2
11	226	98	48	243	226	205	62	205	2
11	204	55	53	241	204	184	60	198	2
27	170	32	59	215	170	155	68	185	2
1	231	16	58	254	231	205	49	205	2
6	237	23	58	249	237	210	47	206	2
3	243	31	57	252	243	215	46	208	2
1	241	32	56	254	241	213	47	208	2
2	242	40	55	253	242	214	47	208	2
1	241	43	55	254	241	213	48	208	2
0	232	36	55	255	232	206	50	206	2
7	193	44	54	246	193	175	62	195	2
1	141	4	59	253	141	130	73	181	2
0	81	2	59	255	81	74	91	164	2
1	83	6	58	252	83	77	91	164	2
5	77	10	58	238	77	71	94	161	2
3	76	9	58	245	76	70	93	162	2
2	78	12	56	248	78	72	93	163	2
2	81	13	56	249	81	75	93	164	2
1	83	12	56	252	83	77	92	165	2
0	84	16	54	255	84	78	92	165	2
2	86	19	54	249	86	80	92	166	2
4	87	25	52	243	87	81	93	166	2
2	85	24	52	249	85	79	94	166	2
4	85	21	54	243	85	79	92	165	2
4	86	21	54	243	86	80	92	165	2
2	87	16	55	249	87	81	91	166	2
1	87	15	55	252	87	81	91	166	2
0	88	16	55	255	88	82	91	167	2
3	90	20	54	246	90	84	90	166	2
9	95	26	54	231	95	89	91	166	2
12	98	29	54	224	98	92	90	166	2
9	96	25	54	231	96	90	90	166	2
6	95	25	54	239	95	89	90	167	2
6	96	26	53	239	96	90	90	167	2
3	93	22	54	247	93	87	90	167	2
2	93	22	53	250	93	87	90	167	2
5	95	22	54	242	95	88	89	167	2
5	95	23	54	242	95	88	90	167	2
7	96	27	53	236	96	90	90	167	2
7	96	27	53	236	96	90	90	167	2
6	96	26	53	239	96	90	90	167	2
5	97	25	53	242	97	91	89	168	2
3	97	23	54	247	97	90	89	168	2
3	98	23	54	247	98	91	88	169	2
2	96	20	54	250	96	89	88	169	2
3	97	20	55	247	97	90	88	168	2
5	100	23	54	242	100	93	88	169	2
8	98	28	53	234	98	92	90	168	2
6	94	26	53	239	94	88	91	167	2
10	89	23	55	226	89	83	92	164	2
14	93	27	55	217	93	87	92	164	2
9	94	29	53	231	94	88	92	166	2
11	96	32	53	226	96	90	92	166	2
10	96	34	52	228	96	90	92	167	2
8	93	31	52	233	93	87	92	166	2
11	94	31	53	225	94	88	92	165	2
12	93	29	54	222	93	87	92	164	2
16	92	26	56	211	92	86	92	163	2
15	91	26	56	213	91	85	92	163	2
13	89	27	54	218	89	83	93	163	2
14	87	25	55	214	87	82	93	162	2
18	88	26	57	203	88	83	93	161	2
18	88	26	57	203	88	83	93	161	2
15	85	23	57	210	85	80	94	161	2
15	85	22	57	210	85	79	94	161	2
16	87	22	57	208	87	81	93	161	2
30	88	15	66	212	88	82	93	155	2
33	85	9	69	228	85	79	94	152	2
42	83	9	73	227	83	78	96	146	2
45	83	9	75	227	83	78	97	144	2
52	81	11	78	220	81	77	100	139	2
53	78	9	79	226	78	73	101	137	2
57	76	8	82	228	76	72	103	134	2
59	75	7	83	231	75	71	104	132	2
59	74	7	83	231	74	70	104	131	2
61	74	8	84	227	74	70	105	130	2
63	74	11	85	217	74	71	106	129	2
65	72	10	87	220	72	69	108	127	2
66	73	7	87	231	73	70	107	127	2
69	72	7	89	230	72	69	108	124	2
71	73	10	89	220	73	70	109	124	2
71	70	7	90	230	71	68	110	122	2
76	67	6	94	235	76	65	114	118	2
76	66	5	94	238	76	64	114	117	2
79	68	7	95	232	79	66	115	116	2
81	68	8	95	230	81	67	115	115	2
74	67	6	93	234	74	65	113	119	2
76	67	7	94	232	76	65	114	118	2
78	69	9	94	226	78	67	114	117	2
80	72	14	94	210	80	70	114	118	2
72	67	13	93	209	72	65	113	120	2
71	65	12	93	212	71	63	114	119	2
74	65	13	94	210	74	63	115	118	2
74	66	14	94	207	74	64	115	118	2
70	67	14	92	204	70	65	113	121	2
69	68	14	91	203	69	66	111	122	2
66	69	11	88	214	69	66	110	125	2
66	68	12	89	210	68	65	110	124	2
66	68	17	89	191	68	66	111	124	2
68	68	18	90	188	68	66	112	123	2
68	63	15	93	199	68	61	115	120	2
66	62	11	92	212	66	60	113	121	2
66	64	7	91	228	66	61	111	122	2
66	66	9	90	220	66	63	110	123	2
64	69	9	88	222	69	66	109	126	2
63	68	8	88	225	68	65	109	126	2
62	69	10	86	218	69	66	108	127	2
61	71	11	85	215	71	68	107	129	2
54	74	12	80	214	74	70	103	135	2
59	73	11	83	217	73	69	105	131	2
66	71	9	88	223	71	68	108	126	2
70	72	11	89	216	72	69	109	124	2
70	71	11	90	215	71	69	109	123	2
71	69	9	91	223	71	66	112	121	2
69	69	7	90	229	69	66	110	123	2
68	68	7	90	229	68	65	110	123	2
64	68	8	88	225	68	65	110	125	2
66	69	10	88	218	69	66	109	125	2
61	72	12	85	213	72	69	106	129	2
64	75	15	85	204	75	72	106	129	2
54	79	15	78	207	79	75	102	137	2
55	77	13	80	212	77	73	103	135	2
44	82	12	74	218	82	77	98	145	2
51	87	17	75	205	87	82	98	143	2
28	88	27	60	177	88	83	95	156	2
27	87	27	60	176	87	82	96	156	2
25	89	30	58	183	89	84	95	158	2
26	90	32	57	181	90	85	95	158	2
20	91	30	56	199	91	86	94	161	2
18	90	29	55	204	90	85	94	162	2
16	92	24	57	211	92	86	92	163	2
15	92	22	57	213	92	86	91	163	2
13	93	27	55	219	93	87	92	164	2
14	95	31	54	217	95	89	93	165	2
18	94	31	55	206	94	88	93	163	2
21	94	31	56	198	94	88	93	162	2
18	93	30	55	206	93	87	92	163	2
16	92	29	55	211	92	86	93	163	2
16	93	28	55	211	93	87	92	163	2
14	92	24	56	216	92	86	92	164	2
12	90	20	57	221	90	84	91	163	2
14	92	18	58	216	92	86	90	163	2
15	94	20	58	214	94	88	90	164	2
11	92	20	57	225	92	86	90	164	2
10	92	19	57	227	92	86	90	165	2
10	94	19	57	228	94	87	90	166	2
11	94	20	57	225	94	88	90	165	2
13	94	22	57	220	94	88	90	165	2
13	94	22	57	220	94	88	90	165	2
7	91	22	55	235	91	85	91	166	2
10	95	26	54	228	95	89	91	166	2
13	97	30	54	221	97	91	91	166	2
13	97	30	54	221	97	91	91	166	2
9	95	27	54	231	95	89	91	166	2
6	94	25	54	239	94	88	90	167	2
7	93	23	54	236	93	87	91	166	2
7	92	21	55	236	92	86	90	166	2
6	90	19	55	238	90	84	90	165	2
5	89	18	55	241	89	83	91	165	2
5	88	18	55	241	88	82	91	165	2
6	87	19	55	237	87	81	91	164	2
8	89	22	55	232	89	83	92	164	2
7	91	26	53	235	91	85	92	166	2
7	91	25	54	235	91	85	92	166	2
10	90	22	56	227	90	84	92	164	2
10	90	22	56	227	90	84	92	164	2
10	90	22	56	227	90	84	92	164	2
12	91	24	55	221	91	85	92	164	2
12	91	26	55	221	91	85	93	164	2
12	91	27	54	221	91	85	92	164	2
12	92	28	54	222	92	86	92	164	2
12	91	27	54	221	91	85	92	164	2
12	91	25	55	221	91	85	92	164	2
13	91	23	56	219	91	85	91	164	2
13	91	23	56	219	91	85	91	164	2
12	90	22	56	221	90	84	92	163	2
12	89	22	56	221	89	83	92	163	2
12	89	23	56	221	89	83	93	163	2
13	90	24	56	218	90	84	92	164	2
11	87	24	55	223	87	81	94	163	2
11	87	24	55	223	87	81	94	163	2
13	89	24	56	218	89	83	93	163	2
12	89	23	56	221	89	83	93	163	2
11	88	22	56	223	88	82	92	163	2
12	88	22	56	220	88	82	92	163	2
12	88	22	56	220	88	82	92	163	2
12	89	23	56	221	89	83	93	163	2
10	87	21	56	226	87	81	93	163	2
10	87	21	56	226	87	81	93	163	2
11	87	21	56	223	87	81	93	162	2
14	89	19	58	215	89	83	92	163	2
17	92	22	58	208	92	86	91	163	2
16	92	24	57	211	92	86	92	163	2
17	93	26	56	208	93	87	92	163	2
15	93	24	57	214	93	87	91	164	2
15	92	23	57	213	92	86	91	163	2
22	92	20	61	200	92	86	91	161	2
36	90	13	69	218	90	84	93	153	2
36	89	12	69	221	89	83	93	152	2
45	85	13	73	216	85	80	96	145	2
45	84	12	74	219	84	79	97	145	2
54	84	15	77	209	84	80	99	140	2
56	83	14	78	212	83	79	100	138	2
60	80	11	81	220	80	76	102	134	2
65	78	11	84	219	78	74	105	130	2
67	79	12	85	216	79	76	105	129	2
70	79	12	86	216	79	76	106	128	2
73	78	11	88	219	78	75	107	125	2
80	77	13	91	214	80	75	110	121	2
81	78	13	91	214	81	76	110	121	2
77	78	11	90	219	78	75	109	123	2
79	77	11	91	219	79	75	110	121	2
81	76	12	92	217	81	74	111	119	2
83	74	10	94	224	83	72	113	117	2
85	72	8	95	231	85	71	114	115	2
89	71	7	97	235	89	70	116	112	2
89	70	6	97	238	89	69	117	111	2
85	72	7	95	234	85	71	114	115	2
86	73	8	95	231	86	72	114	115	2
87	73	8	95	232	87	72	115	114	2
87	72	7	96	234	87	71	115	114	2
86	72	8	95	231	86	71	115	114	2
85	72	9	95	228	85	71	114	115	2
86	71	8	96	231	86	70	116	114	2
89	69	5	97	241	89	68	118	111	2
89	70	6	97	238	89	69	117	111	2
84	74	6	94	237	84	72	113	117	2
84	74	6	94	237	84	72	113	117	2
81	74	6	93	236	81	72	111	118	2
80	74	6	92	236	80	72	111	119	2
79	74	7	92	232	79	72	111	120	2
76	72	8	92	228	76	70	111	120	2
73	71	8	91	227	73	69	111	121	2
62	69	10	86	218	69	66	108	127	2
63	70	11	86	215	70	67	108	127	2
63	65	14	89	200	65	62	112	124	2
64	65	16	89	192	65	63	112	124	2
61	68	14	86	203	68	65	109	127	2
59	70	13	84	208	70	67	106	130	2
62	73	15	84	203	73	70	107	129	2
63	78	20	82	190	78	75	106	132	2
66	76	18	85	195	76	73	107	129	2
60	77	12	82	215	77	73	104	132	2
60	77	10	82	222	77	73	103	132	2
52	77	10	79	222	77	72	102	137	2
46	77	9	76	225	77	72	100	141	2
46	77	10	76	222	77	72	100	141	2
49	80	15	76	207	80	76	100	141	2
53	82	17	77	202	82	78	100	139	2
49	81	16	75	205	81	77	100	141	2
51	82	17	76	202	82	77	100	141	2
35	81	13	70	214	81	76	96	149	2
28	87	17	65	205	87	81	93	156	2
27	117	35	57	196	117	110	86	168	2
8	177	62	50	243	177	163	70	191	2
46	216	103	50	201	216	198	68	196	2
10	234	122	45	244	234	213	66	208	2
6	243	130	44	249	243	221	65	211	2
5	243	148	42	250	243	223	71	212	2
0	240	164	40	255	240	222	77	212	2
1	241	159	40	254	241	222	75	212	2
3	246	143	43	252	246	224	68	212	2
0	232	129	43	255	232	212	69	209	2
13	231	79	51	241	231	207	56	205	2
7	205	37	55	246	205	184	57	198	2
27	171	34	59	215	171	156	68	185	2
2	230	20	58	253	230	204	49	205	2
10	241	30	57	244	241	213	47	207	2
6	247	33	57	249	247	218	46	209	2
4	245	38	56	251	245	217	46	209	2
4	245	47	55	251	245	217	47	209	2
5	245	48	55	250	245	217	47	209	2
1	236	40	55	254	236	209	49	207	2
11	192	49	54	240	192	174	63	195	2
0	135	0	60	255	135	124	74	180	2
0	80	1	60	255	80	73	91	164	2
1	84	7	58	252	84	77	91	164	2
5	78	11	58	239	78	72	93	161	2
4	78	12	57	242	78	72	93	162	2
3	79	12	56	245	79	73	93	163	2
1	78	8	57	252	78	72	93	163	2
1	81	9	57	252	81	75	92	164	2
0	88	14	55	255	88	82	91	166	2
3	93	17	55	247	93	86	89	167	2
3	96	18	55	247	96	89	88	168	2
2	93	13	56	250	93	86	89	168	2
2	94	11	57	250	94	87	88	168	2
2	96	10	57	250	96	89	87	168	2
1	96	6	58	252	96	89	87	168	2
0	97	4	59	255	97	90	86	169	2
0	99	4	59	255	99	92	85	170	2
1	101	3	59	252	101	93	85	170	2
1	103	3	59	253	103	95	84	171	2
1	104	7	58	253	104	96	84	171	2
0	101	4	59	255	101	93	85	170	2
0	101	19	54	255	101	94	87	171	2
0	101	21	54	255	101	94	87	171	2
0	100	18	55	255	100	93	87	170	2
0	100	18	55	255	100	93	87	170	2
0	99	19	54	255	99	92	88	170	2
1	99	22	54	252	99	92	88	170	2
4	98	28	52	245	98	92	90	169	2
3	96	25	53	247	96	90	90	168	2
1	94	21	54	252	94	87	89	168	2
0	95	18	54	255	95	88	89	168	2
0	97	17	55	255	97	90	88	169	2
0	97	19	54	255	97	90	88	169	2
0	98	20	54	255	98	91	88	170	2
1	97	19	54	252	97	90	88	169	2
2	99	20	54	250	99	92	88	169	2
8	96	27	54	234	96	90	90	167	2
1	87	19	54	252	87	81	91	166	2
12	91	25	55	221	91	85	92	164	2
15	95	29	55	215	95	89	91	164	2
7	93	27	53	236	93	87	91	166	2
6	95	26	53	239	95	89	91	167	2
3	95	24	53	247	95	89	90	168	2
4	96	24	53	244	96	90	90	168	2
6	98	24	54	239	98	91	89	168	2
7	98	23	55	237	98	91	89	168	2
9	98	23	55	232	98	91	89	167	2
8	98	23	55	234	98	91	89	167	2
6	96	21	55	239	96	89	89	167	2
6	96	19	56	239	96	89	88	167	2
8	99	19	56	234	99	92	88	168	2
7	98	20	56	237	98	91	89	168	2
5	96	18	56	242	96	89	88	168	2
6	95	19	56	239	95	88	89	167	2
5	94	18	56	241	94	87	89	167	2
20	91	13	63	219	91	85	90	161	2
23	91	12	64	221	91	85	91	160	2
46	87	2	76	249	87	81	94	145	2
49	86	0	77	255	86	80	95	143	2
77	80	2	89	249	80	77	107	124	2
76	77	0	90	255	77	74	107	123	2
83	68	3	96	246	83	67	115	114	2
81	66	2	96	249	81	65	116	114	2
87	63	2	98	249	87	62	120	109	2
87	64	5	98	240	87	64	120	109	2
85	63	7	98	234	85	62	120	110	2
83	61	4	98	243	83	60	120	110	2
78	62	2	96	248	78	60	118	113	2
77	62	3	96	245	77	60	117	114	2
77	63	4	96	242	77	61	116	115	2
77	61	3	97	245	77	59	117	113	2
82	59	2	99	249	82	58	121	109	2
82	59	2	99	249	82	58	121	109	2
83	61	3	98	246	83	60	120	110	2
83	64	5	97	240	83	63	118	112	2
74	63	3	95	245	74	61	115	116	2
72	62	2	94	248	72	60	114	117	2
70	61	1	94	251	70	58	115	117	2
69	61	3	94	244	69	58	115	118	2
67	60	6	93	232	67	58	114	119	2
69	58	5	95	237	69	56	116	117	2
74	56	5	98	238	74	55	119	113	2
73	55	5	98	238	73	54	120	112	2
76	55	6	99	235	76	54	121	111	2
80	57	6	99	236	80	56	122	109	2
79	58	4	98	242	79	57	121	110	2
81	57	5	99	239	81	56	122	109	2
83	58	9	100	227	83	58	123	108	2
85	56	9	101	228	85	57	124	107	2
83	52	6	102	237	83	53	126	105	2
84	51	4	102	243	84	52	127	104	2
90	55	2	102	249	90	56	126	102	2
92	58	3	101	247	92	59	126	103	2
92	59	3	101	247	92	60	125	104	2
90	56	2	102	249	90	57	126	103	2
92	54	2	103	249	92	55	128	101	2
93	54	2	103	250	93	55	129	100	2
94	53	1	103	252	94	55	130	99	2
97	53	0	104	255	97	55	131	98	2
98	56	1	103	252	98	58	129	99	2
98	57	2	103	250	98	59	129	99	2
97	57	1	103	252	97	58	129	100	2
94	57	0	102	255	94	58	127	101	2
87	58	0	100	255	87	58	123	106	2
85	58	1	100	252	85	58	123	107	2
82	60	4	98	243	82	59	120	110	2
82	63	6	98	236	82	62	118	112	2
76	67	7	94	232	76	65	114	118	2
75	69	9	93	224	75	67	112	119	2
61	72	7	85	230	72	68	105	129	2
60	73	7	84	231	73	69	104	130	2
51	80	10	78	223	80	75	100	139	2
50	80	11	77	220	80	75	100	140	2
20	79	19	61	194	79	74	96	156	2
21	80	20	61	191	80	75	96	156	2
21	84	26	58	191	84	79	96	158	2
20	83	25	58	194	83	78	96	158	2
13	85	24	55	216	85	80	94	161	2
13	85	24	55	216	85	80	94	161	2
10	86	17	57	225	86	80	92	163	2
9	86	16	57	228	86	80	92	163	2
8	89	22	55	232	89	83	92	164	2
11	94	28	54	225	94	88	92	166	2
16	96	28	56	213	96	90	91	164	2
13	93	23	56	219	93	87	91	164	2
10	94	20	56	228	94	87	90	166	2
10	98	19	57	229	98	91	88	167	2
11	100	18	58	227	100	93	87	167	2
8	101	15	58	235	101	94	87	168	2
7	99	11	59	237	99	92	87	168	2
8	99	11	59	234	99	92	87	168	2
8	101	14	58	235	101	94	87	168	2
5	99	14	57	242	99	92	87	168	2
5	99	13	57	242	99	92	87	168	2
6	100	11	58	240	100	93	86	168	2
4	98	11	58	245	98	91	87	169	2
6	97	19	56	239	97	90	88	168	2
3	94	16	56	247	94	87	89	167	2
3	90	15	56	246	90	84	90	166	2
6	94	19	56	239	94	87	89	166	2
9	91	23	55	230	91	85	92	164	2
6	88	20	55	238	88	82	92	164	2
5	89	19	55	241	89	83	91	165	2
5	90	19	55	241	90	84	91	165	2
8	91	20	56	233	91	85	90	165	2
7	90	19	56	235	90	84	90	165	2
6	88	17	56	238	88	82	91	165	2
6	87	16	56	237	87	81	92	164	2
6	86	17	56	237	86	80	92	164	2
7	84	18	56	234	84	78	93	163	2
8	85	20	55	231	85	79	93	163	2
8	87	23	54	232	87	81	92	164	2
7	86	21	55	234	86	80	93	164	2
10	87	21	56	226	87	81	93	163	2
8	85	19	56	231	85	79	93	163	2
6	82	16	56	236	82	76	93	163	2
9	85	19	56	228	85	79	93	162	2
8	87	23	54	232	87	81	92	164	2
8	87	23	54	232	87	81	92	164	2
7	86	22	54	234	86	80	92	164	2
5	84	20	54	240	84	78	93	164	2
6	84	18	55	237	84	78	93	163	2
7	85	17	56	234	85	79	92	163	2
7	85	17	56	234	85	79	92	163	2
6	86	16	56	237	86	80	92	164	2
5	86	15	56	240	86	80	91	164	2
5	85	14	57	240	85	79	92	164	2
6	87	15	57	237	87	81	91	164	2
6	88	17	56	238	88	82	91	165	2
6	88	17	56	238	88	82	91	165	2
6	88	17	56	238	88	82	91	165	2
6	88	16	56	238	88	82	91	165	2
6	89	15	57	238	89	83	91	165	2
6	90	14	57	238	90	84	90	165	2
6	91	13	58	238	91	84	89	165	2
5	91	9	59	241	91	84	89	166	2
4	91	9	58	244	91	84	89	166	2
3	91	9	58	247	91	84	89	166	2
3	91	8	58	247	91	84	89	166	2
4	89	8	59	244	89	82	89	166	2
4	90	9	58	244	90	83	89	166	2
3	93	12	57	247	93	86	89	167	2
2	92	9	58	249	92	85	89	167	2
9	88	7	61	235	88	82	90	163	2
11	85	5	62	240	85	78	91	162	2
26	82	3	69	246	82	76	93	154	2
45	80	3	76	245	80	75	97	143	2
56	80	6	80	236	80	76	101	136	2
78	74	7	92	232	78	72	111	120	2
77	73	6	92	235	77	71	111	120	2
88	72	7	96	235	88	71	115	113	2
87	70	5	96	240	87	69	116	113	2
88	67	6	98	238	88	66	119	110	2
88	67	7	98	235	88	66	119	110	2
88	67	6	98	238	88	66	119	110	2
87	67	5	97	240	87	66	117	111	2
85	65	5	98	240	85	64	118	111	2
85	65	5	98	240	85	64	118	111	2
84	65	5	97	240	84	64	118	112	2
81	66	3	96	246	81	65	116	114	2
80	65	3	96	245	80	64	116	114	2
80	64	3	96	245	80	63	117	113	2
80	64	2	96	249	80	63	117	113	2
83	64	2	97	249	83	63	117	112	2
85	65	1	97	252	85	64	118	111	2
83	65	1	97	252	83	64	117	112	2
