Bl	G	R	H	S	V	L	A	B	Color
0	143	241	18	255	241	174	158	202	1
0	144	241	18	255	241	175	157	202	1
0	144	241	18	255	241	175	157	202	1
0	144	241	18	255	241	175	157	202	1
0	141	239	18	255	239	172	158	201	1
0	140	239	18	255	239	172	158	201	1
0	141	240	18	255	240	173	158	201	1
0	139	238	18	255	238	171	158	201	1
41	126	237	13	211	237	164	165	189	1
66	125	242	10	185	242	166	169	179	1
0	181	209	26	255	209	189	124	204	1
0	156	236	20	255	236	180	149	203	1
0	154	237	19	255	237	179	150	203	1
0	148	238	19	255	238	176	154	202	1
1	147	240	18	254	240	176	155	202	1
1	144	241	18	254	241	175	157	202	1
0	139	237	18	255	237	171	158	201	1
0	139	238	18	255	238	171	158	201	1
0	140	239	18	255	239	172	158	201	1
0	139	238	18	255	238	171	158	201	1
0	139	238	18	255	238	171	158	201	1
0	140	239	18	255	239	172	158	201	1
0	140	239	18	255	239	172	158	201	1
0	140	239	18	255	239	172	158	201	1
0	142	240	18	255	240	173	158	202	1
0	143	241	18	255	241	174	158	202	1
1	145	242	18	254	242	176	157	202	1
1	145	242	18	254	242	176	157	202	1
0	143	241	18	255	241	174	158	202	1
0	141	239	18	255	239	172	158	201	1
0	142	240	18	255	240	173	158	202	1
0	139	238	18	255	238	171	158	201	1
41	128	239	13	211	239	166	165	190	1
57	127	242	11	195	242	167	167	184	1
0	181	215	25	255	215	190	126	205	1
0	151	238	19	255	238	178	152	203	1
0	150	239	19	255	239	178	153	203	1
0	147	242	18	255	242	177	156	203	1
0	145	241	18	255	241	175	156	202	1
1	142	240	18	254	240	173	158	201	1
0	140	239	18	255	239	172	158	201	1
0	141	240	18	255	240	173	158	201	1
0	141	239	18	255	239	172	158	201	1
0	140	238	18	255	238	172	158	201	1
0	140	238	18	255	238	172	158	201	1
0	140	238	18	255	238	172	158	201	1
0	139	238	18	255	238	171	158	201	1
1	140	240	17	254	240	172	159	201	1
1	142	241	18	254	241	174	158	201	1
1	143	241	18	254	241	174	158	202	1
1	144	242	18	254	242	175	157	202	1
1	145	242	18	254	242	176	157	202	1
0	144	241	18	255	241	175	157	202	1
0	142	239	18	255	239	173	157	201	1
0	142	240	18	255	240	173	158	202	1
0	140	238	18	255	238	172	158	201	1
45	128	240	13	207	240	166	166	189	1
53	128	242	12	199	242	167	167	186	1
0	180	221	24	255	221	191	129	205	1
0	153	240	19	255	240	180	152	203	1
0	150	240	19	255	240	178	153	203	1
0	146	241	18	255	241	176	156	202	1
0	143	240	18	255	240	174	157	202	1
0	142	240	18	255	240	173	158	202	1
1	143	241	18	254	241	174	158	202	1
0	142	241	18	255	241	174	158	202	1
0	141	239	18	255	239	172	158	201	1
0	140	238	18	255	238	172	158	201	1
0	139	237	18	255	237	171	158	201	1
0	140	238	18	255	238	172	158	201	1
0	139	238	18	255	238	171	158	201	1
1	141	240	18	254	240	173	158	201	1
1	143	241	18	254	241	174	158	202	1
1	144	242	18	254	242	175	157	202	1
0	142	240	18	255	240	173	158	202	1
0	142	240	18	255	240	173	158	202	1
0	142	240	18	255	240	173	158	202	1
0	142	239	18	255	239	173	157	201	1
0	141	239	18	255	239	172	158	201	1
0	140	237	18	255	237	171	158	201	1
44	128	240	13	208	240	166	166	189	1
44	126	239	13	208	239	165	166	189	1
0	181	221	25	255	221	192	129	205	1
0	155	236	20	255	236	180	149	203	1
0	147	236	19	255	236	175	153	202	1
0	143	240	18	255	240	174	157	202	1
0	143	240	18	255	240	174	157	202	1
0	142	239	18	255	239	173	157	201	1
0	142	239	18	255	239	173	157	201	1
0	142	239	18	255	239	173	157	201	1
0	141	239	18	255	239	172	158	201	1
0	139	238	18	255	238	171	158	201	1
0	139	238	18	255	238	171	158	201	1
0	140	239	18	255	239	172	158	201	1
0	140	237	18	255	237	171	158	201	1
0	143	240	18	255	240	174	157	202	1
0	144	241	18	255	241	175	157	202	1
0	144	241	18	255	241	175	157	202	1
0	140	239	18	255	239	172	158	201	1
0	140	239	18	255	239	172	158	201	1
0	140	239	18	255	239	172	158	201	1
0	140	239	18	255	239	172	158	201	1
0	139	236	18	255	236	170	158	201	1
2	138	236	17	253	236	170	158	200	1
38	127	239	13	214	239	165	165	191	1
51	125	238	12	200	238	164	167	185	1
0	181	226	24	255	226	193	131	206	1
0	157	237	20	255	237	181	149	203	1
0	148	238	19	255	238	176	154	202	1
0	143	240	18	255	240	174	157	202	1
0	142	239	18	255	239	173	157	201	1
0	141	238	18	255	238	172	157	201	1
0	140	237	18	255	237	171	158	201	1
0	142	239	18	255	239	173	157	201	1
0	142	241	18	255	241	174	158	202	1
0	140	239	18	255	239	172	158	201	1
0	139	238	18	255	238	171	158	201	1
0	141	240	18	255	240	173	158	201	1
0	141	238	18	255	238	172	157	201	1
0	143	240	18	255	240	174	157	202	1
0	144	241	18	255	241	175	157	202	1
0	143	240	18	255	240	174	157	202	1
0	140	239	18	255	239	172	158	201	1
0	139	238	18	255	238	171	158	201	1
0	138	238	17	255	238	170	159	201	1
0	138	238	17	255	238	170	159	201	1
0	138	236	18	255	236	170	158	200	1
4	136	236	17	251	236	169	159	200	1
28	129	238	14	225	238	166	164	194	1
56	128	239	12	195	239	166	166	184	1
1	182	223	24	254	223	193	129	206	1
0	166	234	21	255	234	186	143	204	1
0	152	238	19	255	238	178	152	203	1
0	144	237	18	255	237	173	155	201	1
0	141	238	18	255	238	172	157	201	1
0	142	239	18	255	239	173	157	201	1
0	139	237	18	255	237	171	158	201	1
0	141	239	18	255	239	172	158	201	1
0	144	241	18	255	241	175	157	202	1
0	141	238	18	255	238	172	157	201	1
0	137	239	17	255	239	170	160	201	1
0	140	242	17	255	242	173	159	201	1
0	144	241	18	255	241	175	157	202	1
0	144	241	18	255	241	175	157	202	1
0	146	241	18	255	241	176	156	202	1
0	143	239	18	255	239	174	157	201	1
0	140	239	18	255	239	172	158	201	1
0	138	238	17	255	238	170	159	201	1
0	137	239	17	255	239	170	160	201	1
0	138	240	17	255	240	171	160	201	1
0	139	238	18	255	238	171	158	201	1
4	136	237	17	251	237	169	160	200	1
15	135	240	16	239	240	170	161	198	1
61	130	239	12	190	239	167	165	182	1
1	181	225	24	254	225	193	131	206	1
0	169	233	22	255	233	187	140	205	1
2	153	241	19	253	241	180	152	203	1
0	147	239	18	255	239	176	155	202	1
1	144	241	18	254	241	175	157	202	1
1	144	241	18	254	241	175	157	202	1
0	142	240	18	255	240	173	158	202	1
1	143	241	18	254	241	174	158	202	1
0	143	240	18	255	240	174	157	202	1
0	140	237	18	255	237	171	158	201	1
0	138	240	17	255	240	171	160	201	1
0	138	240	17	255	240	171	160	201	1
0	140	237	18	255	237	171	158	201	1
0	142	238	18	255	238	173	157	201	1
0	144	239	18	255	239	174	156	202	1
0	142	238	18	255	238	173	157	201	1
0	139	238	18	255	238	171	158	201	1
0	138	238	17	255	238	170	159	201	1
0	137	239	17	255	239	170	160	201	1
0	138	239	17	255	239	171	159	201	1
0	139	238	18	255	238	171	158	201	1
4	137	238	17	251	238	170	159	200	1
12	135	240	16	242	240	170	161	199	1
68	129	238	11	182	238	166	165	178	1
1	178	228	23	254	228	191	134	205	1
0	168	232	22	255	232	186	141	204	1
1	155	241	19	254	241	181	151	203	1
0	150	237	19	255	237	177	152	202	1
0	146	243	18	255	243	177	157	202	1
1	146	243	18	254	243	177	157	202	1
0	143	241	18	255	241	174	158	202	1
0	143	240	18	255	240	174	157	202	1
0	144	241	18	255	241	175	157	202	1
0	142	240	18	255	240	173	158	202	1
0	142	240	18	255	240	173	158	202	1
0	142	240	18	255	240	173	158	202	1
0	140	238	18	255	238	172	158	201	1
0	138	238	17	255	238	170	159	201	1
0	138	240	17	255	240	171	160	201	1
0	139	240	17	255	240	172	159	201	1
0	139	238	18	255	238	171	158	201	1
0	139	238	18	255	238	171	158	201	1
0	139	238	18	255	238	171	158	201	1
0	138	237	17	255	237	170	159	201	1
0	139	238	18	255	238	171	158	201	1
0	137	238	17	255	238	170	159	201	1
1	136	239	17	254	239	170	160	200	1
66	129	236	11	184	236	166	164	179	1
0	174	232	23	255	232	190	137	205	1
0	165	229	22	255	229	184	141	204	1
0	154	239	19	255	239	180	151	203	1
0	150	235	19	255	235	176	151	202	1
0	146	243	18	255	243	177	157	202	1
1	146	243	18	254	243	177	157	202	1
0	143	240	18	255	240	174	157	202	1
0	144	241	18	255	241	175	157	202	1
1	145	242	18	254	242	176	157	202	1
1	145	242	18	254	242	176	157	202	1
2	145	242	18	253	242	176	157	202	1
1	144	242	18	254	242	175	157	202	1
0	140	239	18	255	239	172	158	201	1
0	137	237	17	255	237	170	159	200	1
0	137	239	17	255	239	170	160	201	1
0	138	239	17	255	239	171	159	201	1
0	139	238	18	255	238	171	158	201	1
0	139	238	18	255	238	171	158	201	1
0	141	240	18	255	240	173	158	201	1
0	141	240	18	255	240	173	158	201	1
0	140	239	18	255	239	172	158	201	1
1	139	240	17	254	240	172	159	201	1
1	137	240	17	254	240	171	160	201	1
77	129	237	10	172	237	166	165	174	1
0	172	235	22	255	235	190	140	206	1
0	164	230	21	255	230	183	142	203	1
1	151	241	19	254	241	179	153	203	1
0	148	239	19	255	239	176	154	202	1
2	147	243	18	253	243	177	156	202	1
1	146	242	18	254	242	176	156	202	1
1	143	241	18	254	241	174	158	202	1
2	145	242	18	253	242	176	157	202	1
1	145	241	18	254	241	175	156	202	1
0	145	241	18	255	241	175	156	202	1
1	146	241	18	254	241	176	156	202	1
1	144	241	18	254	241	175	157	202	1
0	140	238	18	255	238	172	158	201	1
0	137	236	17	255	236	169	159	200	1
0	138	237	17	255	237	170	159	201	1
0	140	239	18	255	239	172	158	201	1
0	142	240	18	255	240	173	158	202	1
0	142	240	18	255	240	173	158	202	1
1	144	241	18	254	241	175	157	202	1
2	145	242	18	253	242	176	157	202	1
1	144	241	18	254	241	175	157	202	1
3	145	243	18	252	243	176	157	202	1
1	141	239	18	254	239	172	158	201	1
75	129	238	10	175	238	167	166	175	1
0	172	235	22	255	235	190	140	206	1
0	161	230	21	255	230	181	143	203	1
2	149	244	18	253	244	179	156	203	1
1	146	241	18	254	241	176	156	202	1
2	147	242	18	253	242	177	156	202	1
2	146	242	18	253	242	176	156	202	1
3	145	243	18	252	243	176	157	202	1
2	145	242	18	253	242	176	157	202	1
0	145	240	18	255	240	175	156	202	1
0	145	240	18	255	240	175	156	202	1
1	146	241	18	254	241	176	156	202	1
2	144	241	18	253	241	175	157	202	1
1	141	239	18	254	239	172	158	201	1
0	139	238	18	255	238	171	158	201	1
0	139	238	18	255	238	171	158	201	1
0	140	239	18	255	239	172	158	201	1
1	142	240	18	254	240	173	158	201	1
0	144	241	18	255	241	175	157	202	1
1	145	242	18	254	242	176	157	202	1
2	146	243	18	253	243	177	157	202	1
0	144	241	18	255	241	175	157	202	1
5	147	245	18	250	245	178	157	202	1
1	140	238	18	254	238	172	158	201	1
88	127	238	8	161	238	166	167	168	1
0	171	230	22	255	230	188	138	205	1
1	160	229	21	254	229	181	143	202	1
2	149	244	18	253	244	179	156	203	1
0	146	241	18	255	241	176	156	202	1
2	147	242	18	253	242	177	156	202	1
3	148	244	18	252	244	178	156	202	1
4	147	244	18	251	244	177	157	202	1
2	147	242	18	253	242	177	156	202	1
0	146	241	18	255	241	176	156	202	1
1	146	241	18	254	241	176	156	202	1
1	146	241	18	254	241	176	156	202	1
1	145	241	18	254	241	175	156	202	1
1	143	240	18	254	240	174	157	201	1
0	141	239	18	255	239	172	158	201	1
0	142	239	18	255	239	173	157	201	1
0	140	239	18	255	239	172	158	201	1
0	142	241	18	255	241	174	158	202	1
1	145	241	18	254	241	175	156	202	1
1	146	241	18	254	241	176	156	202	1
1	145	242	18	254	242	176	157	202	1
0	143	240	18	255	240	174	157	202	1
5	150	245	18	250	245	180	156	203	1
0	141	237	18	255	237	172	157	201	1
81	128	239	9	169	239	167	167	172	1
0	174	225	23	255	225	188	134	204	1
1	161	230	21	254	230	181	143	203	1
2	149	244	18	253	244	179	156	203	1
0	147	242	18	255	242	177	156	203	1
1	148	243	18	254	243	178	156	202	1
3	149	244	18	252	244	179	156	203	1
4	149	244	18	251	244	179	156	203	1
2	148	243	18	253	243	178	156	202	1
1	148	243	18	254	243	178	156	202	1
3	148	243	18	252	243	178	156	202	1
2	147	242	18	253	242	177	156	202	1
2	146	242	18	253	242	176	156	202	1
0	143	240	18	255	240	174	157	202	1
1	144	241	18	254	241	175	157	202	1
1	144	241	18	254	241	175	157	202	1
0	142	240	18	255	240	173	158	202	1
1	143	242	18	254	242	175	158	202	1
2	147	242	18	253	242	177	156	202	1
2	147	242	18	253	242	177	156	202	1
0	144	241	18	255	241	175	157	202	1
2	145	242	18	253	242	176	157	202	1
7	152	247	18	248	247	181	155	203	1
3	141	237	18	252	237	172	157	200	1
82	124	236	8	166	236	163	168	170	1
0	176	224	24	255	224	189	133	205	1
1	161	232	21	254	232	182	144	203	1
2	150	243	18	253	243	179	155	203	1
1	147	242	18	254	242	177	156	202	1
0	146	241	18	255	241	176	156	202	1
1	147	241	18	254	241	176	155	202	1
2	149	242	18	253	242	178	155	203	1
2	150	243	18	253	243	179	155	203	1
